종목코드,급등확률,종가,당일,20일,근거
092600,40.2%,3670,+29.9%,+98.6%,60일 신고가
004545,34.1%,3800,+22.2%,-15.6%,장대양봉 +18.2%
456070,29.3%,6820,+30.2%,+19.6%,20일 신고가 / 장대양봉 +31.2%
007610,26.6%,4945,+29.1%,+22.1%,20일 신고가 / 장대양봉 +29.6%
092780,26.5%,4100,+30.0%,+20.1%,60일 신고가 / 장대양봉 +28.7% / 기관·외국인 동반매수
348080,25.5%,4570,-5.1%,+63.8%,-
001525,25.4%,10670,+30.0%,+19.0%,60일 신고가 / 장대양봉 +27.0%
078860,25.2%,3175,+29.9%,+15.9%,20일 신고가 / 장대양봉 +29.6%
001520,25.0%,1353,+29.7%,+26.8%,60일 신고가 / 장대양봉 +24.1%
000500,24.9%,322000,+22.0%,+103.5%,60일 신고가 / 정배열 / 장대양봉 +21.7% / 기관·외국인 동반매수
265740,22.8%,8250,+28.9%,+28.9%,60일 신고가 / 장대양봉 +21.1%
001527,22.5%,6570,+29.8%,+0.5%,장대양봉 +29.8%
005320,21.7%,1348,+6.1%,+68.7%,60일 신고가 / 변동성 수축 / 장대양봉 +5.3% / 외국인 8일 연속
140430,21.6%,2805,-5.4%,+57.3%,-
357580,21.5%,7130,+3.0%,+37.1%,20일 신고가
088800,21.1%,2395,+5.7%,+33.6%,장대양봉 +5.5%
406820,20.8%,2545,+9.7%,+35.2%,60일 신고가 / 장대양봉 +9.2% / 기관·외국인 동반매수
478340,20.6%,14100,+1.8%,+46.1%,20일 신고가
285800,20.1%,5320,+8.5%,+45.2%,20일 신고가
101000,19.6%,2075,+4.0%,+181.2%,60일 신고가
